Erling Haaland
Phil Foden
Omar Marmoush
Danny Welbeck
Georginio Rutter
Tijjani Reijnders
Rayan Cherki
Oscar Bobb
Jeremy Doku
Kaoru Mitoma
Matt O'Riley
Yankuba Minteh
Carlos Baleba
Brajan Gruda
Ilkay Gundogan
Rodri
Diego Gomez
Rayan Ait-Nouri
Bernardo Silva
Yasin Ayari
Nico O'Reilly
Ferdi Kadioglu
Jack Hinshelwood
Nico Gonzalez
Josko Gvardiol
Maxim De Cuyper
James Milner
Lewis Dunk
Tariq Lamptey
Ruben Dias
Mats Wieffer
Abdukodir Khusanov
Matheus Nunes
John Stones
Diego Coppola
Olivier Boscagli
Nathan Ake
Jan Paul van Hecke
Rico Lewis
Joel Veltman
Igor Julio
Cole Palmer
Joao Pedro
Liam Delap
Jamie Gittens
Estevao
Pedro Neto
Raul Jimenez
Andrey Santos
Rodrigo Muniz
Enzo Fernandez
Harry Wilson
Ryan Sessegnon
Martial Godo
Alex Iwobi
Josh King
Adama Traore
Reece James
Emile Smith Rowe
Tom Cairney
Andreas Pereira
Romeo Lavia
Benoit Badiashile
Marc Cucurella
Wesley Fofana
Malo Gusto
Tosin Adarabioyo
Harrison Reed
Sasa Lukic
Sander Berge
Jorge Cuenca
Kenny Tete
Josh Acheampong
Moises Caicedo
Jorrel Hato
Trevoh Chalobah
Joachim Andersen
Timothy Castagne
Calvin Bassey
Antonee Robinson
Issa Diop
Richarlison
Mohammed Kudus
Antoine Semenyo
Mathys Tel
Dominic Solanke
Hamed Traore
Wilson Odobert
Brennan Johnson
Eli Kroupi
David Brooks
Justin Kluivert
Evanilson
Marcus Tavernier
Lucas Bergvall
Pape Matar Sarr
Joao Palhinha
Amine Adli
Pedro Porro
Ben Gannon-Doak
Alex Scott
Ryan Christie
Rodrigo Bentancur
Cristian Romero
Kevin Danso
Bafode Diakite
James Hill
Djed Spence
Adrien Truffert
Tyler Adams
Micky van de Ven
Destiny Udogie
Marcos Senesi
Julio Soler
Archie Gray
Adam Smith
Jorgen Strand Larsen
Mateus Mane
Beto
Sasa Kalajdzic
Hwang Hee-Chan
Marshall Munetsi
Thierno Barry
Jhon Arias
Fer Lopez
Charly Alcaraz
Youssef Chermiti
Jean-Ricner Bellegarde
Tyler Dibling
Dwight McNeil
Jack Grealish
Iliman Ndiaye
