Scott Carson
Ashley Young
Jonny Evans
Asmir Begovic
Joel Ward
Łukasz Fabianski
Raheem Sterling
John Ruddy
Jeffrey Schlupp
Ben Davies
Christian Eriksen
Sam Johnstone
Jack Robinson
Matteo Di Norscia
Tom Ince
Andrew Robertson
Alex McCarthy
Patrick Bamford
Jamie Vardy
Craig Dawson
Fraser Forster
Aaron Cresswell
Willian
Emiliano Martinez
Kevin De Bruyne
Moussa Sissoko
Matt Targett
Jack Stephens
Karl Darlow
Shane Duffy
Ashley Barnes
Danny Ings
Tom Heaton
Ben Chilwell
Mason Holgate
Tom Davies
Harry Winks
Jeremy Pied
Jordan Pickford
Lewis Cook
Marcus Rashford
Rob Holding
Chuba Akpom
Trent Alexander-Arnold
Michail Antonio
Abdoulaye Doucoure
Solly March
Jason Steele
Ryan Fraser
Nick Pope
David Button
Simon Moore
Joe Wildsmith
Adam Armstrong
Isaac Hayden
Christian Walton
Matz Sels
Jamaal Lascelles
Conor Coady
Nahki Wells
David Raya
Bobby De Cordova-Reid
Sam Morsy
Marcus Bettinelli
Danny Ward
Alex Mowatt
Charlie Taylor
Daniel Bentley
Kalvin Phillips
Alan Browne
Wes Foderingham
George Long
James Shea
Bertrand Traore
Heung-min Son
Freddie Woodman
Darnell Furlong
Alex Palmer
Josh Maja
Wilfred Ndidi
Gabriel Jesus
Jordan Clark
Alex Cairns
Adam Davies
Conor Townsend
Jack Stacey
Luke O'Nien
Tom King
Wes Burns
Karlan Grant
Philip Billing
Jed Wallace
Kortney Hause
Jerry Yates
Adam Webster
James Bree
Hamza Choudhury
James Maddison
Jacob Brown
Ellery Balcombe
George Hirst
Ryan Manning
Lloyd Kelly
Ben Brereton Diaz
Mark Gillespie
Callum O'Hare
Sammie Szmodics
Devante Cole
Remi Matthews
Aaron Ramsdale
Tom Lockyer
Joe Aribo
Callum Styles
Stephy Mavididi
Conor Chaplin
Ethan Ampadu
Dean Henderson
Jack Taylor
Nathan Baxter
Cedric Kipre
Marco Bizot
Marvelous Nakamba
Enes Unal
Andre Onana
Oleksandr Zinchenko
Gustavo Hamer
Wout Faes
Noussair Mazraoui
Jannik Vestergaard
Bernd Leno
Christian Norgaard
Timo Werner
Odysseas Vlachodimos
Kai Havertz
Leon Bailey
Alexander Isak
Stefan Ortega
Hee-chan Hwang
Igor
Patson Daka
Benson Manuel
Leander Dendoncker
Hannes Delcroix
Mateo Kovacic
Vaclav Hladky
Vladimir Coufal
Martin Dubravka
Ladislav Krejci
Emiliano Marcondes
Robin Olsen
Konstantinos Tsimikas
Mads Juel Andersen
Benjamin Lecomte
Alphonse Areola
Neal Maupay
Mario Lemina
Maxwel Cornet
Diego Carlos
Ricardo Pereira
Yves Bissouma
Christopher Nkunku
Walter Benitez
Boubacar Kamara
Goncalo Guedes
Axel Disasi
Giorgi Chakvetadze
Chiedozie Ogbene
Manor Solomon
Neto
Jorginho
Gianluigi Donnarumma
Emerson
Alisson
Guglielmo Vicario
Ederson
Jose Sa
Diogo Jota
Nelson Semedo
Victor Lindelof
Daniel Podence
Joao Felix
Florentino
Kenny McLean
Kieran Tierney
Harry Souttar
Ross Stewart
Pablo Sarabia
Thomas Partey
Alex Moreno
Kepa Arrizabalaga
Marco Asensio
Carlos Soler
Jens Cajuste
Manuel Akanji
Emmanuel Dennis
John Victor
Luis Sinisterra
Luis Diaz
Edson Alvarez
Miguel Almiron
Takehiro Tomiyasu
Nicolas Dominguez
Angus Gunn
Chris Mepham
Harry Darling
Alfie Whiteman
Mikey Johnston
Andrew Irving
Sergio Reguilon
Randal Kolo Muani
Illan Meslier
Boubakary Soumare
Romain Faivre
